commit	mean_score	min_score	bb	sp	house	lost	cost_usd	cumulative_cost	status	description
b6b2d39	0.0563	0.0049	0.0881	0.0591	0.0049	0.0731	2.0	2.0	baseline	Baseline: voting+orphans+single-word+max_tokens=6144
79d6361	0.0511	0.0001	0.0486	0.0817	0.0001	0.0739	2.0	4.0	discard	v2-01: season-length scaling + short-arc guidance in Pass 1
aeefc42	0.0554	0.0036	0.0960	0.0570	0.0036	0.0652	2.0	6.0	discard	v2-02: procedural vs serialized assignment rule in Pass 2
-	0.0586	0.0029	0.0830	0.0740	0.0029	0.0746	1.1	7.1	discard	v2-03: skip Pass 3 (narratologist review)
13323c3	0.0490	0.0032	0.0797	0.0630	0.0032	0.0503	1.4	8.5	discard	v2-04: increase procedural storyline count (3-6 serialized per season)
67214c7	0.0580	0.0000	0.0908	0.0819	0.0043	0.0814	4.5	13.0	keep	v2-05: event description specificity guidance in Pass 2 (full set validated)
40be052	0.0548	0.0048	0.0753	0.0780	0.0048	0.0611	1.2	14.2	discard	v2-06: tie event descriptions to storyline goal (worse than v2-05)
68ff8a1	0.0541	0.0066	0.0720	0.0817	0.0066	0.0561	1.5	15.7	discard	v2-07: limit events to 8-15 per episode (House+, BB/Lost-)
94d0e00	0.0618	0.0061	0.0879	0.0818	0.0061	0.0715	1.8	17.5	discard	v2-08: Pass 3 oversized storyline check (House+0.002, Lost-0.01)
c713445	0.0624	0.0086	0.0867	0.0814	0.0086	0.0728	1.8	19.3	discard	v2-09: Driver:Theme naming for all storylines (House+0.004, Lost-0.009)
9cbc2c8	0.0588	0.0042	0.0819	0.0840	0.0146	0.0810	4.0	23.3	keep	v2-10: specificity + Driver:Theme naming (full set: House 3x, ER 2x, CSI out of zero)
3f1e663	0.0605	0.0086	0.0857	0.0682	0.0086	0.0796	1.4	24.7	discard	v2-11: + Pass 3 oversized check (House regressed, SP dropped)
-	0.0655	0.0044	0.0931	0.0867	0.0044	0.0777	1.0	25.7	discard	v2-12: skip-review on v2-10 (House 0.0146→0.0044, Pass 3 helps House)
-	-	-	-	-	-	-	2.0	27.7	-	Restore fast set to v2-10 final state
