commit	score	coverage	consistency	cost_usd	status	description
8fc9ce5	0.641	0.979	0.655	1.5	keep	baseline
0e2977f	0.310	0.957	0.324	1.5	discard	H13: less theory, merge-when-in-doubt in pass1
e2a52c1	0.797	0.984	0.810	1.5	keep	temperature=0 for all LLM calls
6a4c23b	0.724	0.955	0.758	1.5	discard	Exp 1: stronger merge preference + serial 5-6
315561a	0.895	0.984	0.910	1.5	keep	Exp 2: translate Pass 1 prompt to English
e9434c0	0.806	0.985	0.818	1.5	discard	Exp 3: translate Pass 2 prompt to English (on top of Pass 1 EN)
4155cf8	0.824	0.963	0.856	1.5	keep	Exp 4: all prompts English (via prompts_en/)
efb780f	0.938	0.947	0.991	1.5	keep	Exp 5: enforce single-word storyline names
63cb79e	0.858	0.964	0.890	1.5	discard	Exp 6: tighten serial count to 5-8 (aim 6-7)
ad18df7	0.859	0.950	0.904	1.5	discard	Exp 7: minimize null assignments in Pass 2
dff2b70	0.724	0.958	0.756	1.5	discard	Exp 8: remove three-act structure mention
9980dd9	0.746	0.953	0.783	1.5	discard	Exp 9: remove seed/wraparound section from Pass 1
6e464a2	0.699	0.953	0.734	1.5	discard	Exp 10: add merge-preference to Pass 1 EN
b37ba62	0.827	0.964	0.858	1.5	discard	Exp 11: increase max_tokens to 16384
fb16a1b	0.763	0.931	0.819	1.5	discard	Exp 12: include format field in Pass 1
098b0a7	0.645	0.993	0.649	0.5	discard	Exp 13: try Haiku 4.5 (fast but inconsistent)
07d4b84	0.837	0.994	0.843	1.5	discard	Exp 14: orphan event assignment by character affinity
569a5e5	0.867	0.957	0.906	1.5	discard	Exp 15: include obstacle/stakes in Pass 2
0d4dbf2	0.887	0.950	0.933	1.5	discard	Exp 16: sort Pass 1 output by ID
325b7f3	0.872	0.969	0.900	1.5	discard	Exp 17: expand naming word list to 15 words
91d9506	0.497	0.997	0.498	1.5	discard	Exp 18: try claude-sonnet-4-6 model
365a3ab	0.809	1.000	0.809	1.5	discard	Exp 19: validate max 5% null events in Pass 2
83d0ce0	0.809	0.952	0.849	1.5	discard	Exp 20: sort cast/storylines by ID in Pass 2
239d125	0.963	0.963	1.000	1.5	keep	Exp 21: majority voting on Pass 1 (3 rounds)
82a3c19	0.967	0.988	0.979	1.5	keep	Exp 22: voting + 10% max null validation in Pass 2
ddeab0b	0.823	1.000	0.823	1.5	discard	Exp 23: tighten null threshold to 5%
16aa5a1	0.962	0.988	0.974	1.5	discard	Exp 24: sort Pass 1 output by ID
d4bef13	0.805	0.983	0.819	1.5	discard	Exp 25: majority voting on Pass 0
51841bb	0.967	0.988	0.979	1.5	discard	Exp 26: 5 voting rounds (same score, more costly)
d5dd616	0.974	0.979	0.995	1.5	keep	Exp 27: Russian Pass 2 + English Pass 1
8b2b09d	0.822	0.961	0.856	1.5	discard	Exp 28: remove null validation
170b18d	0.988	0.993	0.995	1.5	keep	Exp 29: orphan event assignment (voting stabilizes)
97f76a1	0.993	0.993	1.000	1.5	keep	Exp 30: reduce max_tokens to 6144
dcfc7f0	0.886	0.993	0.892	1.5	discard	Exp 31: reduce max_tokens to 4096
362c6f0	0.858	0.993	0.864	1.5	discard	Exp 32: iterative orphan assignment
b516ba6	0.993	0.993	1.000	1.5	keep	Exp 33: prescriptive naming vocabulary (stable, 2 runs)
ab16eda	1.000	1.000	1.000	1.5	keep	Exp 34: fallback orphan to episode's most common storyline
233e177	0.834	1.000	0.834	1.5	keep	Universal only: voting + null validation + orphans + max_tokens 6144
1bc787b	0.880	0.998	0.882	1.5	keep	Remove 'English' from naming rule
